*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE BENZAL BENZENE BOX2PROL BPINENE BUOX2ETOH BUT1ENE BUT2OL
* C2H2 C2H4 C2H5CHO C2H5OH C2H6 C3H6 C3H7CHO C3H8 C4H6 C4H9CHO C5H8
* CBUT2ENE CH3CHO CH3CO2H CH3COCH3 CH3OCH3 CH3OCHO CH3OH CH4 CHEX
* CHEX2ENE CPENT2ENE CYHEXOL CYHEXONE DIEK DIET35TOL DIETETHER
* DIIPRETHER DIME35EB DMC DMM EBENZ EOX2EOL ETBE ETHACET ETHGLY
* HCHO HCOOH HEX1ENE HEX2ONE HEX3ONE IBUTOL IC4H10 IC5H12 IPBENZ
* IPEAOH IPEBOH IPECOH IPRCHO IPROACET IPROPOL M22C4 M23C4 M2HEX
* M2PE M3HEX M3PE ME2BUT1ENE ME2BUT2ENE ME3BUOL ME3BUT1ENE MEK
* MEPROPENE METHACET METHTOL MIBK MIBKAOH MIPK MO2EOL MPRK MTBE
* MTBK MXYL NBUTACET NBUTOL NC10H22 NC11H24 NC12H26 NC4H10 NC5H12
* NC6H14 NC7H16 NC8H18 NC9H20 NEOP NPROACET NPROPOL OETHTOL OXYL
* PBENZ PECOH PENT1ENE PETHTOL PR2OHMOX PROPACID PROPGLY PXYL
* SBUTACET STYRENE TBUACET TBUT2ENE TBUTOL THEX2ENE TM123B TM124B
* TM135B TOLUENE TPENT2ENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
ANHY								
APINENE	CC1=CCC2CC1C2(C)C	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3	GRWFGVWFFZKLTI-UHFFFAOYSA-N	C10H16	136.234	false	false	(+-)-alpha-pinene; (-)alpha-pinene; .alpha.-Pinene; ALPHA-PINENE; alpha -pinene
ARNOH14								
ARNOH17								
AROH14								
AROH17								
BENZAL	O=Cc1ccccc1	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N	C7H6O	106.1219	false	false	benzaldehyde; 100-52-7; Benzoic aldehyde; Benzenecarboxaldehyde; Phenylmethanal
BENZENE	c1ccccc1	InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	UHOVQNZJYSORNB-UHFFFAOYSA-N	C6H6	78.1118	false	false	benzene; benzene-; 71-43-2; benzol; BNZ
BOX2PROL	CCCCOCC(C)O	InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3	RWNUSVWFHDHRCJ-UHFFFAOYSA-N	C7H16O2	132.2007	false	false	5131-66-8; 1-Butoxy-2-propanol; 1-Butoxypropan-2-ol; 2-PROPANOL, 1-BUTOXY-; Propylene glycol monobutyl ether
BPINENE	C=C1CCC2CC1C2(C)C	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3	WTARULDDTDQWMU-UHFFFAOYSA-N	C10H16	136.234	false	false	(-)-.beta.-Pinene; .beta.-Pinene; 127-91-3; BETA-PINENE; beta pinene
BUOX2ETOH	CCCCOCCO	InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3	POAOYUHQDCAZBD-UHFFFAOYSA-N	C6H14O2	118.1742	false	false	111-76-2; 2 -Butoxyethanol; 2-Butoxyethanol; ETHYLENE GLYCOL MONOBUTYL ETHER; ethylene glycol-monobutyl ether
BUT1ENE	CCC=C	InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3	VXNZUUAINFGPBY-UHFFFAOYSA-N	C4H8	56.1063	false	false	1-BUTENE; 106-98-9; But-1-ene; BUTENE; Ethylethylene
BUT2OL	CCC(C)O	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3	BTANRVKWQNVYAZ-UHFFFAOYSA-N	C4H10O	74.1216	false	false	78-92-2; 2-Butanol; sec-Butanol; sec.-butanol; SEC-BUTYL ALCOHOL
C2H2	C#C	InChI=1S/C2H2/c1-2/h1-2H	HSFWRNGVRCDJHI-UHFFFAOYSA-N	C2H2	26.0373	false	false	ACETYLENE; Vinylene; Ethyne; 74-86-2; Ethenylene
C2H4	C=C	InChI=1S/C2H4/c1-2/h1-2H2	VGGSQFUCUMXWEO-UHFFFAOYSA-N	C2H4	28.0532	false	false	9002-88-4; ETHYLENE; 74-85-1; Ethene; MFCD00084423
C2H5CHO	CCC=O	InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3	NBBJYMSMWIIQGU-UHFFFAOYSA-N	C3H6O	58.0791	false	false	123-38-6; Propionaldehyde; propanal; Methylacetaldehyde; Propaldehyde
C2H5CO3	CCC(=O)O[O]	InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3	CZOABHOHPMNISH-UHFFFAOYSA-N	C3H5O3	89.07	false	true	(Propionylperoxy)radical
C2H5CO3H								
C2H5NO3	CCON(=O)=O	InChI=1S/C2H5NO3/c1-2-6-3(4)5/h2H2,1H3	IDNUEBSJWINEMI-UHFFFAOYSA-N	C2H5NO3	91.066	false	false	ETHYL NITRATE; 625-58-1; Nitric acid, ethyl ester; Nitric ether; NSC 8826
C2H5O2	CCO[O]	InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3	CGVQNDZUWCSFFT-UHFFFAOYSA-N	C2H5O2	61.0599	false	true	Ethyldioxy; 3170-61-4; C2H5OO; (Ethylperoxy) radical; DTXSID90953652
C2H5OH	CCO	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C2H6O	46.0684	false	false	ethanol; ethanol-; alcohol; 64-17-5; EtOH
C2H5OOH	CCOO	InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3	ILHIHKRJJMKBEE-UHFFFAOYSA-N	C2H6O2	62.0678	false	false	ETHYL HYDROPEROXIDE; 3031-74-1; Hydroperoxide, ethyl; CCRIS 4487; EINECS 221-211-6
C2H6	CC	InChI=1S/C2H6/c1-2/h1-2H3	OTMSDBZUPAUEDD-UHFFFAOYSA-N	C2H6	30.069	false	false	Dimethyl; ETHANE; 74-84-0; Bimethyl; Methylmethane
C3H6	CC=C	InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3	QQONPFPTGQHPMA-UHFFFAOYSA-N	C3H6	42.0797	false	false	PROPYLENE; 115-07-1; Propene; prop-1-ene; 1-Propene
C3H7CHO	CCCC=O	InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3	ZTQSAGDEMFDKMZ-UHFFFAOYSA-N	C4H8O	72.1057	false	false	123-72-8; butyraldehyde; butanal; n -butyraldehyde; n-butyraldehyde
